Date,AV,C,TV
2015-09-03,13762.382396697998,1197.1821269988977,14959.564523696896
2015-09-04,14353.58341217041,337.76374626159304,14691.347158432003
2015-09-08,6639.211051940918,8554.627334594723,15193.83838653564
2015-09-09,9924.107242584229,5239.735366821285,15163.842609405514
2015-09-10,7215.346399307251,7978.996477127072,15194.342876434323
2015-09-11,8589.555034637451,6618.4920425415,15208.047077178951
2015-09-14,10521.877889633179,4650.175304412838,15172.053194046017
2015-09-15,11076.003351211548,4165.905290603634,15241.908641815182
2015-09-16,7013.888088226318,8407.312009811398,15421.200098037716
2015-09-17,9832.209287643433,5550.851322174069,15383.060609817501
2015-09-18,13391.144083023071,1808.6963729858362,15199.840456008907
2015-09-21,13606.202024459839,1658.038269042965,15264.240293502804
2015-09-22,14616.564855575562,423.9477100372278,15040.51256561279
2015-09-23,14860.532358169556,107.16615867614382,14967.6985168457
2015-09-24,14800.219184875488,43.584583282467065,14843.803768157955
2015-09-25,9300.113059997559,5688.992012023922,14989.10507202148
2015-09-28,12873.248893737793,1859.9452438354456,14733.194137573239
2015-09-29,14120.626434326172,600.1824340820276,14720.8088684082
2015-09-30,7299.759582519531,7722.403823852535,15022.163406372067
2015-10-01,7129.1632080078125,7964.599411010739,15093.762619018551
2015-10-02,7649.393703460693,7550.410594940182,15199.804298400875
2015-10-05,7679.747890472412,7685.8203792571985,15365.56826972961
2015-10-06,7613.430809020996,7712.490381240841,15325.921190261837
2015-10-07,7734.793703079224,7707.8674621581995,15442.661165237423
2015-10-08,7759.4264488220215,7753.34664726257,15512.773096084591
2015-10-09,7767.304838180542,7733.176647186276,15500.481485366818
2015-10-12,7761.366949081421,7725.836647033688,15487.203596115109
2015-10-13,12894.082235336304,2526.5611591339075,15420.643394470211
2015-10-14,12666.409635543823,2734.989570617672,15401.399206161495
2015-10-15,8476.665147781372,7201.044223785397,15677.709371566769
2015-10-16,7617.1425495147705,8098.075813293453,15715.218362808224
2015-10-19,9224.591314315796,6454.482067108151,15679.073381423947
2015-10-20,9964.72769355774,5740.19692611694,15704.924619674679
2015-10-21,12851.206106185913,2763.510801315304,15614.716907501217
2015-10-22,5856.8495082855225,10035.53357505798,15892.383083343502
2015-10-23,8961.994533538818,6969.736801147457,15931.731334686276
2015-10-26,8389.116008758545,7503.918720245358,15893.034729003903
2015-10-27,10027.495985031128,5812.08662986755,15839.582614898678
2015-10-28,10573.131275177002,5316.036663055416,15889.167938232418
2015-10-29,12144.786289215088,3677.935466766354,15822.721755981442
2015-10-30,14379.157976150515,1382.9214572906458,15762.07943344116
2015-11-02,10536.657947540283,5334.843351364133,15871.501298904415
2015-11-03,11574.738193511963,4345.858060836789,15920.596254348751
2015-11-04,10501.98720741272,5492.137519836422,15994.124727249142
2015-11-05,11034.660989761353,4948.716503143307,15983.37749290466
2015-11-06,14312.190073013306,1644.675682067868,15956.865755081173
2015-11-09,15629.879858016968,213.91569900512377,15843.795557022091
2015-11-10,14759.719844818115,1050.3455619811975,15810.065406799313
2015-11-11,14403.910177230835,1406.9954948425257,15810.90567207336
2015-11-12,14649.790058135986,1042.4553623199427,15692.245420455929
2015-11-13,15417.139961242676,194.20537376403445,15611.34533500671
2015-11-16,9328.799924850464,6502.215562820432,15831.015487670895
